,strain,plasmid,backbone,iptg,log_mean_gfp,log_mean_v_x,log_std_gfp,log_std_v,log_rho,fit_goodness,std_gfp_correct,rrpu,median_yfp,newstandard
0,KT2440,1201,pSeva221,1,0.2500361928054045,2.314908431035187,0.4747490466603249,0.9633316192486716,0.2997075231082041,0.9752011116261036,0.4529253703433331,0.26927217976427587,,0.026556306435724385
1,KT2440,1201,pSeva221,5,0.037473606608044836,1.9500809750082544,0.456775970075689,0.9450766582367208,0.3287637250998875,0.9894356991651764,0.4313848011157047,0.1161383833492838,,0.004734086328383995
2,KT2440,1201,pSeva221,10,0.09379909689788507,2.1963327962723715,0.4636873346842534,0.9497397879964808,0.2893660157657245,0.9821286793006097,0.44385010761317,0.12895008185669263,,0.0064344536425377016
3,KT2440,1201,pSeva221,20,0.17309785225745852,2.280760216073181,0.4940509919915612,0.9846468777099392,0.3534700799939032,0.981734992674562,0.4621579407107561,0.20225211427231174,,0.016593329889786894
4,KT2440,1201,pSeva221,30,0.0448983136579355,2.189524323694581,0.4614422352375517,0.9619131399136152,0.2828209311736657,0.9791276141485316,0.4426028072868073,0.07957892697397398,,0.0
5,KT2440,1201,pSeva221,40,0.04915596089793396,2.1437684341540684,0.4607327211972314,0.9525219309244609,0.294652239050053,0.9809940176424476,0.4402782852022393,0.09210875260934331,,0.001603031875044659
6,KT2440,1201,pSeva221,70,0.06651447423223905,2.241851138447256,0.4627504124555827,0.9641085407444886,0.28541538409244205,0.9778912313212594,0.4435018055737752,0.09436412203069607,,0.0018937168832012347
7,KT2440,1201,pSeva221,100,0.15570343165415054,2.383169747017078,0.4685308483429221,0.993821869332724,0.2880639861126825,0.9744058879507188,0.4486703706815471,0.16411985675221782,,0.011215732607089551
8,KT2440,1201,pSeva221,200,0.13589841365234184,2.387520480081013,0.5264955627019151,0.9772347791145336,0.35293911832920377,0.9715234072780802,0.4926136195952606,0.1468554465618326,,0.008847647249633493
9,KT2440,1201,pSeva221,500,0.2542988272221013,2.3570951484033067,0.49590217408459997,0.9821151786890921,0.322038118045004,0.9788257145225618,0.4694838303740403,0.2686161885348913,,0.026455517745942295
10,KT2440,1201,pSeva221,1000,0.09953552922886183,2.4266556294910577,0.4684973391076319,0.9842326610055396,0.30335364063732273,0.9709782075541892,0.4464208285935596,0.10220515064748262,,0.0029094308173756955
